

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
088.330  000.196  000.196: require('ibl.indent')
088.341  003.653  002.977: require('ibl.hooks')
089.028  000.428  000.428: require('ibl.highlights')
089.257  000.220  000.220: require('ibl.autocmds')
089.450  000.186  000.186: require('ibl.inlay_hints')
089.642  000.186  000.186: require('ibl.virt_text')
090.119  000.282  000.282: require('ibl.scope_languages')
090.127  000.478  000.196: require('ibl.scope')
090.136  001.781  000.284: require('ibl')
091.204  000.359  000.359: require('vim.lsp.log')
091.678  000.467  000.467: require('vim.lsp.protocol')
092.448  000.408  000.408: require('vim.lsp._snippet')
092.663  000.207  000.207: require('vim.highlight')
092.689  001.002  000.387: require('vim.lsp.util')
092.708  002.116  000.288: require('vim.lsp.handlers')
093.094  000.332  000.332: require('vim.lsp.rpc')
093.317  000.214  000.214: require('vim.lsp.sync')
093.606  000.283  000.283: require('vim.lsp.semantic_tokens')
093.936  000.322  000.322: require('vim.lsp.buf')
094.169  000.225  000.225: require('vim.lsp.diagnostic')
094.564  000.388  000.388: require('vim.lsp.codelens')
094.624  004.360  000.481: require('vim.lsp')
097.398  002.066  002.066: require('lazyvim')
098.264  000.520  000.520: require('lazyvim.util')
098.304  000.894  000.374: require('lazyvim.config')
106.085  000.377  000.377: require('onedark')
108.215  000.199  000.199: require('onedark.palette')
108.244  000.459  000.261: require('onedark.colors')
108.435  000.182  000.182: require('onedark.util')
108.578  001.477  000.836: require('onedark.highlights')
112.902  000.304  000.304: require('onedark.terminal')
112.949  007.825  005.666: sourcing C:\Users\Kusha\AppData\Local\nvim-data\lazy\onedark\colors\onedark.lua
115.674  000.071  000.071: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
117.940  000.057  000.057: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/neo-tree.nvim/plugin/neo-tree.vim
121.174  000.269  000.269: require('neo-tree.log')
121.383  000.201  000.201: require('neo-tree.utils.filesize.filesize')
121.408  000.766  000.296: require('neo-tree.utils')
121.413  003.240  002.473: require('neo-tree')
121.941  000.255  000.255: require('neo-tree.defaults')
122.190  000.240  000.240: require('neo-tree.setup.mapping-helper')
122.790  000.185  000.185: require('neo-tree.collections')
122.799  000.381  000.195: require('neo-tree.events.queue')
122.804  000.607  000.226: require('neo-tree.events')
123.209  000.186  000.186: require('neo-tree.sources.filesystem.lib.globtopattern')
123.219  000.410  000.224: require('neo-tree.sources.common.file-nesting')
123.429  000.206  000.206: require('neo-tree.ui.highlights')
124.495  000.199  000.199: require('nui.object')
125.102  000.184  000.184: require('vim.version')
127.205  002.507  002.323: require('nui.utils')
127.238  002.735  000.228: require('nui.text')
127.289  003.195  000.261: require('nui.line')
